"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"1",6000,2018,"California","state_year","5217.3226386",17.52659,3.51077,3.53717,"36.16","10.972928107","6.7762478234",17.81262,120971,"324:1",1037687,"407.01202019","5.2247510669","132228","25308",19102734,19.9
"2",6001,2018,"California","Alameda","4660.0793548",12.6865,3.05057,3.34591,"34.62","10.673532728","7.2394256202",19.58503,9066,"182:1",35530,"720.31393356","5.3190997125","160940","30257",837917,12.4
"3",6003,2018,"California","Alpine",NA,16.95788,4.12516,4.36402,NA,"14.802252866",NA,17.414,5,"214:1",36,"529.56751986","6.1997673435","117250","18912",556,33.9
"4",6005,2018,"California","Amador","6213.5108186",13.06823,3.34869,3.59512,"38.53","11.044436976","7.2398190045",19.17072,73,"512:1",862,"278.86374233","4.339489245","101275","23338",14646,16.8
"5",6007,2018,"California","Butte","7285.5304554",16.27319,4.01665,4.14786,"40.41","14.155617738","5.9578207381",18.93858,1286,"176:1",6693,"298.55568452","5.2912626864","93322","17637",102319,22.9
"6",6009,2018,"California","Calaveras","7306.2014148",12.84324,3.43881,3.68396,"28.36","11.743991194","5.0509164969",18.29147,69,"655:1",1177,"255.663238","4.9622069085","114493","23073",20914,20.4
"7",6011,2018,"California","Colusa","5746.5299587",19.46638,3.88636,3.87195,"53.71","12.3601661","6.5096952909",18.41381,38,"568:1",1691,"199.59771004","3.7059226814","97299","26255",10887,15.5
"8",6013,2018,"California","Contra Costa","4702.7530912",12.14342,3.16378,3.4033,"35.3","10.468567361","6.8384009663",16.27891,3500,"324:1",24639,"366.02249352","4.7725016689","164427","34453",556454,10.3
"9",6015,2018,"California","Del Norte","8127.8842668",17.51145,4.02593,4.077,"33.01","15.147064133","5.3097345133",19.24144,104,"265:1",731,"582.28443713","5.3947555843","83322","15445",9806,30
"10",6017,2018,"California","El Dorado","5119.9236959",11.29313,3.35666,3.7385,"34.4","10.993451213","6.4806480648",22.17481,544,"341:1",4547,"227.6060712","4.8458931687","144427","29804",89737,10
"11",6019,2018,"California","Fresno","6961.0063714",24.17111,4.19933,3.89311,"41.33","14.181869371","7.6800391478",16.0948,2873,"341:1",42094,"507.12096471","5.1948511665","96858","18645",446228,37
